         113850694 function calls (113845046 primitive calls) in 80.483 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 soundfile.py:1314(_cdata_io)
       12    0.000    0.000    0.000    0.000 soundfile.py:1353(_error_check)
        2    0.000    0.000    0.000    0.000 soundfile.py:1392(_check_mode)
        2    0.000    0.000    0.000    0.000 soundfile.py:1411(_create_info_struct)
       12    0.000    0.000    0.000    0.000 soundfile.py:1431(<genexpr>)
        2    0.000    0.000    0.000    0.000 soundfile.py:1438(_get_format_from_filename)
        2    0.000    0.000    0.000    0.000 soundfile.py:527(__init__)
        2    0.000    0.000    0.000    0.000 soundfile.py:636(<lambda>)
        4    0.000    0.000    0.000    0.000 soundfile.py:638(<lambda>)
        2    0.000    0.000    0.000    0.000 soundfile.py:640(<lambda>)
        2    0.000    0.000    0.000    0.000 soundfile.py:642(<lambda>)
        5    0.000    0.000    0.000    0.000 soundfile.py:644(<lambda>)
       14    0.000    0.000    0.000    0.000 soundfile.py:665(<lambda>)
        8    0.000    0.000    0.000    0.000 soundfile.py:667(<lambda>)
        2    0.000    0.000    0.000    0.000 soundfile.py:687(__del__)
        2    0.000    0.000    0.000    0.000 soundfile.py:690(__enter__)
        2    0.000    0.000    0.000    0.000 soundfile.py:693(__exit__)
       10    0.000    0.000    0.000    0.000 soundfile.py:696(__setattr__)
        6    0.000    0.000    0.000    0.000 soundfile.py:731(seekable)
        6    0.000    0.000    0.000    0.000 soundfile.py:735(seek)
        4    0.000    0.000    0.000    0.000 soundfile.py:776(tell)
        2    0.000    0.000    0.000    0.000 soundfile.py:780(read)
      132    0.018    0.000    0.077    0.001 spectrum.py:42(stft)
      132    0.000    0.000    0.000    0.000 stride_tricks.py:20(__init__)
      132    0.000    0.000    0.000    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
      132    0.001    0.000    0.001    0.000 stride_tricks.py:38(as_strided)
  2029500    0.109    0.000    0.109    0.000 type_check.py:163(_imag_dispatcher)
  2029500    0.236    0.000    0.236    0.000 type_check.py:167(imag)
       44    0.000    0.000    0.000    0.000 type_check.py:206(_is_type_dispatcher)
       22    0.000    0.000    0.000    0.000 type_check.py:303(iscomplexobj)
       22    0.000    0.000    0.000    0.000 type_check.py:344(isrealobj)
      132    0.000    0.000    0.000    0.000 utils.py:2081(dtype_r2c)
      136    0.006    0.000    0.007    0.000 utils.py:213(valid_audio)
      132    0.000    0.000    0.005    0.000 utils.py:362(pad_center)
      132    0.000    0.000    0.000    0.000 utils.py:436(expand_to)
      132    0.000    0.000    0.003    0.000 utils.py:52(frame)
      132    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      5/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      286    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.001    0.001    0.001    0.001 {built-in method _portaudio.close}
        1    0.028    0.028    0.028    0.028 {built-in method _portaudio.initialize}
       23    0.000    0.000    0.000    0.000 {built-in method _portaudio.is_stream_active}
        1    0.008    0.008    0.008    0.008 {built-in method _portaudio.open}
        1    0.026    0.026    0.026    0.026 {built-in method _portaudio.start_stream}
        1    0.135    0.135    0.135    0.135 {built-in method _portaudio.stop_stream}
        1    0.000    0.000    0.000    0.000 {built-in method _portaudio.terminate}
        2    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
 15367911    0.887    0.000    0.887    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      265    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000   81.032   81.032 {built-in method builtins.exec}
      885    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       24    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      924    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
 12161169    0.474    0.000    0.474    0.000 {built-in method builtins.issubclass}
 11744462    0.569    0.000    0.569    0.000 {built-in method builtins.len}
      132    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      265    0.000    0.000    0.000    0.000 {built-in method builtins.min}
   425876    0.044    0.000    0.044    0.000 {built-in method builtins.round}
      154    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     1980    0.145    0.000    0.145    0.000 {built-in method builtins.sum}
      264    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
      573    0.042    0.000    0.042    0.000 {built-in method numpy.array}
 12160708    1.766    0.000    1.766    0.000 {built-in method numpy.asanyarray}
      816    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
14197845/14193003    6.314    0.000   17.281    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      529    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      267    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      264    0.039    0.000    0.039    0.000 {built-in method numpy.fft._pocketfft_internal.execute}
     2069    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
        2    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       22    0.009    0.000    0.009    0.000 {built-in method scipy.fft._pocketfft.pypocketfft.c2r}
        2    0.000    0.000    0.000    0.000 {built-in method sys.getfilesystemencoding}
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      136    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
       22    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
  3897982    0.143    0.000    0.143    0.000 {method 'append' of 'list' objects}
      177    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      264    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      132    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
      220    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'new' of '_cffi_backend.FFI' objects}
       22    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
       44    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       22    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
      265    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      379    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      154    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      133    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
      132    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'sizeof' of '_cffi_backend.FFI' objects}
       22    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
      528    0.000    0.000    0.000    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
      154    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
